CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal (RM),Total_Trans_Amt (RM),Total_Trans_Ct
785387883,Existing Customer,47,F,3,High School,Single,RM40K - RM60K,Blue,41,3788,1540,1594,47
771075258,Existing Customer,55,M,2,College,Single,RM120K +,Silver,42,34516,1527,1268,42
711318033,Existing Customer,47,M,3,Graduate,Single,RM60K - RM80K,Blue,36,2926,0,1304,24
783554958,Existing Customer,58,M,4,Graduate,Single,RM120K +,Blue,52,32090,0,1368,30
720201033,Attrited Customer,53,M,2,Graduate,Married,RM80K - RM120K,Blue,41,11669,2227,720,23
718039683,Existing Customer,52,M,2,High School,Single,RM40K - RM60K,Blue,45,13532,1300,1521,29
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than RM40K,Silver,36,11888,2090,1137,30
714752208,Existing Customer,42,F,1,Graduate,Married,Less than RM40K,Blue,36,2393,1985,978,16
822063408,Existing Customer,43,M,4,Unknown,Married,RM40K - RM60K,Blue,39,6111,2517,1221,16
714490308,Existing Customer,57,M,4,Graduate,Married,RM80K - RM120K,Blue,46,19270,1662,1565,28
713356833,Existing Customer,52,M,1,Graduate,Married,RM80K - RM120K,Blue,43,3710,2517,1578,34
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than RM40K,Blue,37,3235,797,1493,32
708296883,Existing Customer,44,F,3,Graduate,Single,RM40K - RM60K,Blue,38,11749,788,1178,27
719154483,Existing Customer,53,M,2,High School,Divorced,RM60K - RM80K,Blue,36,7753,2100,991,26
717721458,Existing Customer,45,M,4,College,Divorced,RM60K - RM80K,Blue,40,10408,1186,2560,42
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,3967,1568,1657,29
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than RM40K,Blue,27,6205,2517,1204,19
789322833,Attrited Customer,48,F,5,High School,Married,Less than RM40K,Blue,38,8025,0,673,18
789968058,Existing Customer,51,M,1,Unknown,Single,RM120K +,Blue,42,9036,2327,1131,18
709919283,Existing Customer,54,M,4,Graduate,Married,RM80K - RM120K,Blue,34,14926,2517,1576,25
718744008,Existing Customer,59,F,1,Graduate,Single,Less than RM40K,Blue,36,6335,1128,1217,20
767712558,Attrited Customer,59,M,1,College,Single,RM60K - RM80K,Blue,53,14979,0,530,10
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than RM40K,Blue,38,2732,0,739,16
716104983,Existing Customer,41,F,2,Graduate,Single,Less than RM40K,Blue,32,2250,2117,1617,31
818839983,Existing Customer,55,M,2,Graduate,Married,RM120K +,Blue,50,10916,1536,1592,34
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,5349,1228,1343,30
712350858,Existing Customer,41,M,2,High School,Married,RM80K - RM120K,Blue,24,9366,1104,1303,39
711009708,Existing Customer,40,M,3,High School,Single,RM80K - RM120K,Blue,28,21617,0,1351,22
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,13860,1652,1910,32
712215258,Existing Customer,50,F,1,Graduate,Single,RM40K - RM60K,Silver,31,18386,0,1298,22
773827008,Existing Customer,47,M,4,Uneducated,Single,RM60K - RM80K,Blue,41,2405,1540,1087,29
795232683,Existing Customer,53,F,1,College,Married,Less than RM40K,Blue,47,2154,930,1439,26
713786508,Existing Customer,42,F,5,Unknown,Married,RM40K - RM60K,Blue,36,2038,0,1238,28
713539833,Existing Customer,48,F,4,High School,Single,RM40K - RM60K,Blue,38,8135,0,1716,29
712454058,Existing Customer,49,M,1,Doctorate,Married,RM120K +,Blue,38,9364,618,1099,27
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,32643,0,1058,24
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than RM40K,Blue,34,3195,1954,1285,29
720253908,Existing Customer,56,M,0,High School,Married,RM80K - RM120K,Blue,43,2852,1024,1651,28
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,4224,1305,1152,31
713187033,Existing Customer,46,M,1,Uneducated,Married,RM60K - RM80K,Blue,36,20459,2071,1767,38
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than RM40K,Blue,41,3482,2114,1039,24
772426383,Existing Customer,50,F,4,Uneducated,Married,RM40K - RM60K,Blue,40,3065,1570,1130,28
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than RM40K,Blue,43,2185,1761,1645,30
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than RM40K,Blue,36,1611,746,1413,29
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than RM40K,Blue,47,2822,2173,1218,23
713741358,Attrited Customer,46,M,5,Graduate,Single,RM80K - RM120K,Blue,33,32975,2517,597,17
709531908,Existing Customer,53,M,3,High School,Married,RM60K - RM80K,Blue,47,1438.3,0,2184,53
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,15875,1719,1592,37
714141108,Existing Customer,52,F,1,High School,Married,Less than RM40K,Blue,45,6703,893,1388,28
708953883,Attrited Customer,53,M,2,Unknown,Married,RM80K - RM120K,Blue,36,3212,0,757,20
712608783,Existing Customer,50,M,2,High School,Married,RM80K - RM120K,Silver,45,34516,1260,1504,34
820353558,Existing Customer,41,F,3,High School,Married,RM40K - RM60K,Blue,36,9797,1434,1503,34
714964758,Existing Customer,45,F,5,Graduate,Divorced,RM40K - RM60K,Blue,36,10400,1777,1105,28
716264358,Existing Customer,53,M,3,Uneducated,Married,RM80K - RM120K,Blue,42,26792,1836,2398,47
717296808,Existing Customer,67,F,1,Graduate,Married,Less than RM40K,Blue,56,3006,2517,1661,32
712977183,Existing Customer,57,F,2,Uneducated,Single,RM40K - RM60K,Silver,36,19482,1072,1421,22
710829108,Existing Customer,59,F,1,Uneducated,Married,RM40K - RM60K,Blue,36,3356,985,999,28
779562633,Existing Customer,45,M,2,Uneducated,Married,RM40K - RM60K,Blue,34,5771,2248,1387,18
715315833,Existing Customer,51,M,3,Graduate,Married,RM80K - RM120K,Blue,36,11106,2107,1243,24
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than RM40K,Blue,54,2890,2001,1860,36
719360583,Existing Customer,53,M,1,Graduate,Married,RM60K - RM80K,Blue,45,3380,1701,1502,25
709701558,Existing Customer,47,M,3,Graduate,Married,RM60K - RM80K,Blue,36,21331,1251,1460,50
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,12860,0,1348,27
779862408,Existing Customer,49,M,3,Post-Graduate,Single,RM80K - RM120K,Blue,33,6278,462,1087,33
812627208,Existing Customer,60,F,0,College,Single,Less than RM40K,Blue,55,1438.3,738,1226,33
711033408,Existing Customer,50,F,2,High School,Married,Less than RM40K,Blue,36,9355,1626,1230,28
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,20758,0,1555,32
780376683,Existing Customer,57,M,1,Graduate,Married,RM80K - RM120K,Blue,47,14612,1976,1827,24
717912483,Existing Customer,43,M,4,Graduate,Unknown,RM80K - RM120K,Blue,27,27259,0,1376,35
714454758,Existing Customer,57,F,3,Graduate,Married,Less than RM40K,Blue,47,6347,1594,1771,37
780466533,Existing Customer,54,M,3,Doctorate,Married,RM120K +,Blue,41,21592,1676,1873,52
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than RM40K,Blue,44,3449,1598,1679,42
720476733,Existing Customer,47,F,3,High School,Married,Less than RM40K,Blue,34,6028,799,1002,22
715872333,Existing Customer,41,M,0,High School,Unknown,RM120K +,Blue,36,18214,1998,1344,21
712375758,Existing Customer,53,M,3,Uneducated,Married,RM80K - RM120K,Blue,43,16393,1423,1461,42
708868233,Attrited Customer,68,M,0,High School,Married,Less than RM40K,Blue,52,1438.3,900,760,21
718030083,Existing Customer,59,M,1,College,Married,RM60K - RM80K,Blue,36,7871,1687,1428,22
720707283,Existing Customer,48,M,4,Unknown,Married,RM80K - RM120K,Blue,36,5288,866,1777,42
771698658,Existing Customer,44,M,5,Graduate,Married,RM60K - RM80K,Blue,32,11376,2006,1302,27
748326258,Existing Customer,48,M,3,College,Married,RM80K - RM120K,Blue,41,12302,1632,1483,41
770817783,Existing Customer,47,M,4,Graduate,Married,RM60K - RM80K,Silver,33,34516,1679,1060,27
779353083,Existing Customer,47,M,2,Graduate,Married,RM60K - RM80K,Silver,32,34516,1468,1330,32
711441333,Existing Customer,43,F,1,High School,Divorced,Less than RM40K,Silver,35,10514,1580,1229,27
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than RM40K,Blue,43,1438.3,0,886,27
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,RM60K - RM80K,Blue,46,1438.3,0,844,24
809164083,Existing Customer,63,M,1,Graduate,Married,RM40K - RM60K,Blue,56,2619,1779,1450,37
820596183,Existing Customer,58,M,2,College,Married,RM120K +,Blue,53,24407,2395,2311,48
715999608,Existing Customer,53,F,2,High School,Married,Less than RM40K,Blue,36,2377,1649,1378,26
710565408,Existing Customer,59,M,0,Unknown,Unknown,RM80K - RM120K,Silver,40,34516,1359,1033,26
805543158,Existing Customer,52,M,3,Graduate,Married,RM120K +,Blue,47,11086,2207,1523,40
709752183,Existing Customer,48,M,3,High School,Single,RM60K - RM80K,Blue,36,11432,2517,1374,37
716479233,Existing Customer,43,M,4,High School,Married,RM40K - RM60K,Blue,36,13258,1721,1080,21
713837058,Existing Customer,48,M,2,College,Single,Less than RM40K,Blue,36,2571,1955,1234,24
718876683,Existing Customer,43,F,4,Graduate,Single,Less than RM40K,Blue,31,5781,1168,1600,32
770746908,Existing Customer,44,M,4,Unknown,Married,RM60K - RM80K,Blue,30,7872,2509,1155,32
794843883,Existing Customer,41,M,3,High School,Married,RM80K - RM120K,Blue,35,34516,1202,1353,33
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than RM40K,Silver,38,11127,1835,1546,25
758076408,Existing Customer,50,M,2,Unknown,Single,RM40K - RM60K,Blue,43,1857,1603,1590,43
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than RM40K,Blue,36,1913,1272,1448,22
778425408,Existing Customer,44,M,4,Graduate,Single,RM80K - RM120K,Blue,24,3839,2295,1271,24
714171108,Existing Customer,48,F,3,Graduate,Divorced,RM40K - RM60K,Blue,39,2115,1141,1223,20
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than RM40K,Blue,27,1438.3,679,1117,29
713137233,Existing Customer,41,M,2,High School,Single,RM80K - RM120K,Blue,28,27756,1789,994,24
769425858,Existing Customer,45,M,3,College,Single,RM60K - RM80K,Blue,32,1438.3,0,1468,26
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than RM40K,Silver,34,13878,2222,1658,38
788900883,Existing Customer,51,F,2,Graduate,Married,Less than RM40K,Blue,36,3106,1304,1368,38
758348808,Existing Customer,51,M,2,Graduate,Married,RM120K +,Blue,44,34516,1666,1218,18
772336458,Attrited Customer,60,F,1,Uneducated,Married,RM40K - RM60K,Blue,50,1438.3,1025,702,12
708711483,Existing Customer,57,M,2,Unknown,Married,RM80K - RM120K,Blue,46,18871,1740,1516,21
717906783,Existing Customer,41,M,5,Graduate,Single,RM120K +,Blue,29,5207,1748,1310,26
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,RM80K - RM120K,Blue,36,17965,1644,1767,50
769433508,Existing Customer,43,M,1,College,Single,RM60K - RM80K,Blue,37,2733,1819,933,25
790096533,Existing Customer,55,M,2,College,Married,RM60K - RM80K,Blue,48,8863,1301,1512,27
720997383,Attrited Customer,52,M,1,Uneducated,Married,RM80K - RM120K,Blue,36,1857,1833,829,17
787541883,Existing Customer,44,M,3,Graduate,Unknown,RM80K - RM120K,Blue,33,34516,0,1120,27
709930758,Existing Customer,41,M,2,Uneducated,Married,RM40K - RM60K,Blue,30,11107,1222,1506,33
789830058,Existing Customer,44,M,4,Unknown,Single,RM80K - RM120K,Blue,34,21573,1585,1384,36
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than RM40K,Blue,33,2859,2517,817,30
710741208,Existing Customer,39,M,2,High School,Single,RM80K - RM120K,Blue,36,5269,1475,2094,25
821797008,Attrited Customer,49,M,5,College,Married,RM40K - RM60K,Blue,45,1438.3,0,815,21
708874533,Attrited Customer,45,F,2,College,Married,Less than RM40K,Blue,36,3387,0,510,24
715341858,Existing Customer,54,M,2,Graduate,Married,RM80K - RM120K,Blue,46,1982,1289,1377,49
793636308,Existing Customer,49,M,3,Uneducated,Single,RM80K - RM120K,Blue,43,4645,1650,1193,33
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,2189,1666,1287,36
712125258,Attrited Customer,46,M,4,High School,Married,RM120K +,Blue,30,2442,0,701,19
709703433,Existing Customer,47,M,3,Graduate,Married,RM60K - RM80K,Blue,38,21304,1532,1770,25
721022433,Existing Customer,44,M,2,Doctorate,Single,RM60K - RM80K,Blue,36,7577,2480,1409,35
710103558,Existing Customer,50,M,3,Post-Graduate,Single,RM120K +,Blue,31,3234,1486,1354,28
715952883,Existing Customer,73,M,0,High School,Married,RM40K - RM60K,Blue,36,4469,1125,1765,34
719731458,Existing Customer,56,M,3,Unknown,Unknown,RM40K - RM60K,Blue,46,2910,709,1192,27
772390908,Attrited Customer,59,M,0,High School,Single,RM40K - RM60K,Blue,48,3616,1054,687,17
787348608,Existing Customer,70,M,0,High School,Married,Less than RM40K,Blue,56,3252,1495,1227,15
709485033,Existing Customer,55,F,2,High School,Married,Less than RM40K,Blue,36,2358,1152,1737,26
715432608,Existing Customer,43,M,4,Unknown,Single,RM60K - RM80K,Blue,36,22322,953,1348,34
799471833,Existing Customer,45,M,1,Uneducated,Single,RM120K +,Blue,39,3133,1510,1435,38
714187533,Existing Customer,45,F,2,Uneducated,Single,RM40K - RM60K,Blue,35,3540,849,1321,28
779656908,Existing Customer,40,M,1,Graduate,Married,RM40K - RM60K,Blue,23,6990,1378,1479,29
788950158,Existing Customer,36,M,2,College,Unknown,RM80K - RM120K,Blue,22,34516,1652,1283,39
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,RM40K - RM60K,Blue,40,1438.3,0,689,23
710620383,Existing Customer,43,M,4,Unknown,Married,RM60K - RM80K,Blue,35,24396,1171,965,17
778661358,Existing Customer,46,F,1,Unknown,Married,Less than RM40K,Blue,36,2474,2143,1541,40
789483333,Existing Customer,41,M,2,Uneducated,Married,RM40K - RM60K,Blue,32,5214,795,1258,23
809855808,Existing Customer,51,F,2,Graduate,Married,Less than RM40K,Blue,46,5207,1650,1339,20
718464258,Existing Customer,51,F,3,Unknown,Unknown,Less than RM40K,Blue,25,9512,1082,1007,22
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23,3187,2430,1387,33
771809733,Attrited Customer,64,F,0,High School,Married,RM40K - RM60K,Blue,53,3353,0,960,18
719942883,Existing Customer,54,M,5,Graduate,Married,RM60K - RM80K,Blue,38,2290,1434,1119,18
807226683,Existing Customer,48,M,3,Unknown,Single,RM40K - RM60K,Blue,43,5279,1115,1642,41
717806133,Existing Customer,40,M,2,Uneducated,Divorced,RM60K - RM80K,Blue,29,23603,0,1382,31
